Invoice Date,Product,Region,Retailer,Sales Method,State,Price per Unit,Total Sales,Units Sold
2020-05-01,Women's Apparel,South,Walmart,Outlet,Texas,55,4675,85
2020-05-02,Men's Street Footwear,South,Walmart,Outlet,Texas,45,3600,80
2020-05-03,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3600,80
2020-05-04,Women's Street Footwear,South,Walmart,Outlet,Texas,50,3750,75
2020-05-05,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3000,60
2020-05-06,Men's Apparel,South,Walmart,Outlet,Texas,45,2588,58
2020-05-07,Women's Apparel,South,Walmart,Outlet,Texas,55,4125,75
2020-05-08,Men's Street Footwear,South,Walmart,Outlet,Texas,45,4050,90
2020-05-09,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4050,90
2020-05-10,Women's Street Footwear,South,Walmart,Outlet,Texas,50,4125,83
2020-05-11,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3375,68
2020-05-12,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
2020-05-13,Women's Apparel,South,Walmart,Outlet,Texas,55,4675,85
2020-05-14,Men's Street Footwear,South,Walmart,Outlet,Texas,45,4275,95
2020-05-15,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4275,95
2020-05-16,Women's Street Footwear,South,Walmart,Outlet,Texas,50,4250,85
2020-05-17,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3500,70
2020-05-18,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
2020-05-19,Women's Apparel,South,Walmart,Outlet,Texas,55,4950,90
2020-05-20,Men's Street Footwear,South,West Gear,Outlet,Texas,40,3100,78
2020-05-21,Men's Athletic Footwear,South,West Gear,Outlet,Texas,50,3875,78
2020-05-22,Women's Street Footwear,South,West Gear,Outlet,Texas,50,3875,78
2020-05-23,Women's Athletic Footwear,South,West Gear,Outlet,Texas,50,3125,63
2020-05-24,Men's Apparel,West,West Gear,Outlet,California,55,3163,58
2020-05-25,Women's Apparel,West,West Gear,Outlet,California,50,3875,78
2020-05-26,Men's Street Footwear,West,West Gear,Outlet,California,40,3300,83
2020-05-27,Men's Athletic Footwear,West,West Gear,Outlet,California,50,3625,73
2020-05-28,Women's Street Footwear,West,West Gear,Outlet,California,50,3625,73
2020-05-29,Women's Athletic Footwear,West,West Gear,Outlet,California,50,2875,58
2020-05-30,Men's Apparel,West,West Gear,Outlet,California,55,2750,50
2020-05-31,Women's Apparel,West,West Gear,Outlet,California,50,3500,70
2020-06-01,Men's Street Footwear,West,West Gear,Outlet,California,50,4250,85
2020-06-02,Men's Athletic Footwear,West,West Gear,Outlet,California,60,4200,70
2020-06-03,Women's Street Footwear,West,West Gear,Outlet,California,60,4200,70
2020-06-04,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3600,60
2020-06-05,Men's Apparel,West,West Gear,Outlet,California,65,3250,50
2020-06-06,Women's Apparel,West,West Gear,Outlet,California,60,4200,70
2020-06-07,Men's Street Footwear,West,West Gear,Outlet,California,60,5250,88
2020-06-08,Men's Athletic Footwear,West,West Gear,Outlet,California,65,4388,68
2020-06-09,Women's Street Footwear,West,West Gear,Outlet,California,65,4713,73
2020-06-10,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3750,63
2020-06-11,Men's Apparel,West,West Gear,Outlet,California,65,3413,53
2020-06-12,Women's Apparel,West,West Gear,Outlet,California,80,5600,70
2020-06-13,Men's Street Footwear,West,West Gear,Outlet,California,60,5400,90
2020-06-14,Men's Athletic Footwear,West,West Gear,Outlet,California,65,4875,75
2020-06-15,Women's Street Footwear,West,West Gear,Outlet,California,65,4875,75
2020-06-16,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3900,65
2020-06-17,Men's Apparel,West,West Gear,Outlet,California,65,3575,55
2020-06-18,Women's Apparel,West,West Gear,Outlet,California,80,5800,73
2020-06-19,Men's Street Footwear,West,West Gear,Outlet,California,60,5850,98
2020-06-20,Men's Athletic Footwear,West,West Gear,Outlet,California,65,5363,83
2020-06-21,Women's Street Footwear,West,West Gear,Outlet,California,65,5363,83
2020-06-22,Women's Athletic Footwear,West,West Gear,Outlet,California,60,4200,70
2020-06-23,Men's Apparel,West,West Gear,Outlet,California,65,3738,58
2020-06-24,Women's Apparel,West,West Gear,Outlet,California,80,7000,88
2020-06-25,Men's Street Footwear,West,West Gear,Outlet,California,60,6150,103
2020-06-26,Men's Athletic Footwear,West,West Gear,Outlet,California,65,5688,88
2020-06-27,Women's Street Footwear,West,West Gear,Outlet,California,65,5363,83
2020-06-28,Women's Athletic Footwear,West,West Gear,Outlet,California,60,4350,73
2020-06-29,Men's Apparel,West,West Gear,Outlet,California,65,5038,78
2020-06-30,Women's Apparel,West,West Gear,Outlet,California,80,6200,78
2020-07-01,Men's Street Footwear,West,West Gear,Outlet,California,65,6338,98
2020-07-02,Men's Athletic Footwear,West,West Gear,Outlet,California,70,6475,93
2020-07-03,Women's Street Footwear,West,West Gear,Outlet,California,65,5200,80
2020-07-04,Women's Athletic Footwear,West,West Gear,Outlet,California,65,4875,75
2020-07-05,Men's Apparel,West,West Gear,Outlet,California,75,5625,75
2020-07-06,Women's Apparel,West,West Gear,Outlet,California,80,5800,73
2020-07-07,Men's Street Footwear,West,West Gear,Outlet,California,55,5088,93
2020-07-08,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5550,93
2020-07-09,Women's Street Footwear,West,West Gear,Outlet,California,55,4263,78
2020-07-10,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3988,73
2020-07-11,Men's Apparel,West,West Gear,Outlet,California,65,4713,73
2020-07-12,Women's Apparel,West,West Gear,Outlet,California,70,5425,78
2020-07-13,Men's Street Footwear,West,West Gear,Outlet,California,55,4813,88
2020-07-14,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5250,88
2020-07-15,Women's Street Footwear,West,West Gear,Outlet,California,55,3850,70
2020-07-16,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3713,68
2020-07-17,Men's Apparel,West,West Gear,Outlet,California,65,4225,65
2020-07-18,Women's Apparel,West,West Gear,Outlet,California,70,4900,70
2020-07-19,Men's Street Footwear,West,West Gear,Outlet,California,55,4813,88
2020-07-20,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5250,88
2020-07-21,Women's Street Footwear,West,West Gear,Outlet,California,55,3988,73
2020-07-22,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3850,70
2020-07-23,Men's Apparel,West,West Gear,Outlet,California,65,4225,65
2020-07-24,Women's Apparel,West,West Gear,Outlet,California,70,5425,78
2020-07-25,Men's Street Footwear,West,West Gear,Outlet,California,55,5363,98
2020-07-26,Men's Athletic Footwear,West,West Gear,Outlet,California,60,5850,98
2020-07-27,Women's Street Footwear,West,West Gear,Outlet,California,55,4263,78
2020-07-28,Women's Athletic Footwear,West,West Gear,Outlet,California,55,4263,78
2020-07-29,Men's Apparel,West,West Gear,Outlet,California,65,4550,70
2020-07-30,Women's Apparel,West,West Gear,Outlet,California,70,5600,80
2020-07-31,Men's Street Footwear,West,Kohl's,Outlet,California,35,2450,70
2020-08-01,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,3150,70
2020-08-02,Women's Street Footwear,West,Kohl's,Outlet,California,45,3150,70
2020-08-03,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475,55
2020-08-04,Men's Apparel,West,Kohl's,Outlet,California,50,2500,50
2020-08-05,Women's Apparel,West,Kohl's,Outlet,California,45,3150,70
2020-08-06,Men's Street Footwear,West,Kohl's,Outlet,California,35,2625,75
2020-08-07,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,2925,65
2020-08-08,Women's Street Footwear,West,Kohl's,Outlet,California,45,3038,68
2020-08-09,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2363,53
2020-08-10,Men's Apparel,West,Kohl's,Outlet,California,50,2250,45
2020-08-11,Women's Apparel,West,Kohl's,Outlet,California,45,2925,65
2020-08-12,Men's Street Footwear,West,Kohl's,Outlet,California,35,2800,80
2020-08-13,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,2925,65
2020-08-14,Women's Street Footwear,West,Kohl's,Outlet,California,45,2925,65
2020-08-15,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475,55
2020-08-16,Men's Apparel,West,Kohl's,Outlet,California,50,2125,43
2020-08-17,Women's Apparel,West,Kohl's,Outlet,California,45,2813,63
2020-08-18,Men's Street Footwear,West,Kohl's,Outlet,California,45,3600,80
2020-08-19,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3000,60
2020-08-20,Women's Street Footwear,West,Kohl's,Outlet,California,50,3125,63
2020-08-21,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2363,53
2020-08-22,Men's Apparel,West,Kohl's,Outlet,California,50,2125,43
2020-08-23,Women's Apparel,West,Kohl's,Outlet,California,65,3900,60
2020-08-24,Men's Street Footwear,West,Kohl's,Outlet,California,45,3600,80
2020-08-25,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3250,65
2020-08-26,Women's Street Footwear,West,Kohl's,Outlet,California,50,3250,65
2020-08-27,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475,55
2020-08-28,Men's Apparel,West,Kohl's,Outlet,California,50,2250,45
2020-08-29,Women's Apparel,West,Kohl's,Outlet,California,65,4063,63
2020-08-30,Men's Street Footwear,West,Kohl's,Outlet,California,45,4050,90
2020-08-31,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3750,75
2020-09-01,Women's Street Footwear,West,Kohl's,Outlet,California,50,3750,75
2020-09-02,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2813,63
2020-09-03,Men's Apparel,West,Kohl's,Outlet,California,50,2500,50
2020-09-04,Women's Apparel,West,Kohl's,Outlet,California,65,5200,80
2020-09-05,Men's Street Footwear,West,Kohl's,Outlet,California,45,4275,95
2020-09-06,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,4000,80
2020-09-07,Women's Street Footwear,West,Kohl's,Outlet,California,50,3750,75
2020-09-08,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2925,65
2020-09-09,Men's Apparel,West,Kohl's,Outlet,California,50,3500,70
2020-09-10,Women's Apparel,West,Kohl's,Outlet,California,65,4550,70
2020-09-11,Men's Street Footwear,West,Kohl's,Outlet,California,50,4500,90
2020-09-12,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4675,85
2020-09-13,Women's Street Footwear,West,Kohl's,Outlet,California,50,3625,73
2020-09-14,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3375,68
2020-09-15,Men's Apparel,West,Kohl's,Outlet,California,60,4050,68
2020-09-16,Women's Apparel,West,Kohl's,Outlet,California,65,4225,65
2020-09-17,Men's Street Footwear,West,Kohl's,Outlet,California,50,4250,85
2020-09-18,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4675,85
2020-09-19,Women's Street Footwear,West,Kohl's,Outlet,California,50,3500,70
2020-09-20,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3250,65
2020-09-21,Men's Apparel,West,Kohl's,Outlet,California,60,3900,65
2020-09-22,Women's Apparel,West,Kohl's,Outlet,California,65,4550,70
2020-09-23,Men's Street Footwear,West,Kohl's,Outlet,California,50,4000,80
2020-09-24,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4400,80
2020-09-25,Women's Street Footwear,West,Kohl's,Outlet,California,50,3250,65
2020-09-26,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3125,63
2020-09-27,Men's Apparel,West,Kohl's,Outlet,California,60,3600,60
2020-09-28,Women's Apparel,West,Kohl's,Outlet,California,65,4225,65
2020-09-29,Men's Street Footwear,West,Kohl's,Outlet,California,50,4125,83
2020-09-30,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4538,83
2020-10-01,Women's Street Footwear,West,Kohl's,Outlet,California,50,3375,68
2020-10-02,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3250,65
2020-10-03,Men's Apparel,West,Kohl's,Outlet,California,60,3600,60
2020-10-04,Women's Apparel,West,Kohl's,Outlet,California,65,4550,70
2020-10-05,Men's Street Footwear,West,Kohl's,Outlet,California,50,4500,90
2020-10-06,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,4950,90
2020-10-07,Women's Street Footwear,West,Kohl's,Outlet,California,50,3500,70
2020-10-08,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3500,70
2020-10-09,Men's Apparel,West,Kohl's,Outlet,California,60,3750,63
2020-10-10,Women's Apparel,West,Kohl's,Outlet,California,65,4713,73
2020-10-11,Men's Street Footwear,West,Foot Locker,Outlet,California,45,2138,48
2020-10-12,Men's Athletic Footwear,West,Foot Locker,Outlet,California,45,1238,28
2020-10-13,Women's Street Footwear,West,Foot Locker,Outlet,California,35,963,28
2020-10-14,Women's Athletic Footwear,West,Foot Locker,Outlet,California,40,500,13
2020-10-15,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,963,18
2020-10-16,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,45,1238,28
2020-10-17,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,45,2363,53
2020-10-18,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,788,18
2020-10-19,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,35,788,23
2020-10-20,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,400,10
2020-10-21,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,963,18
2020-10-22,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,45,1238,28
2020-10-23,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2475,50
2020-10-24,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,1000,20
2020-10-25,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,900,23
2020-10-26,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,338,8
2020-10-27,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,750,13
2020-10-28,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,1125,23
2020-10-29,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2250,45
2020-10-30,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,750,15
2020-10-31,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,600,15
2020-11-01,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,338,8
2020-11-02,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,600,10
2020-11-03,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,1125,23
2020-11-04,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,60,2970,50
2020-11-05,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,55,1100,20
2020-11-06,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,875,18
2020-11-07,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,500,10
2020-11-08,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,60,750,13
2020-11-09,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,65,1625,25
2020-11-10,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2500,50
2020-11-11,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,1125,25
2020-11-12,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,800,20
2020-11-13,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,700,18
2020-11-14,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,875,18
2020-11-15,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,1925,35
2020-11-16,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2875,58
2020-11-17,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,1463,33
2020-11-18,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,1000,25
2020-11-19,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,800,20
2020-11-20,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,1125,23
2020-11-21,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,2200,40
2020-11-22,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2750,55
2020-11-23,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,1463,33
2020-11-24,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,1000,25
2020-11-25,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,900,23
2020-11-26,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,1000,20
2020-11-27,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,2063,38
2020-11-28,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2500,50
2020-11-29,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,1350,30
2020-11-30,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,800,20
2020-12-01,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,700,18
2020-12-02,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,50,875,18
2020-12-03,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,1375,25
2020-12-04,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,60,2550,43
